Clone_ID,Interval_42062,Interval_42063,Interval_42065,Interval_42058
P1_A03,3.7197623,0.84238744,3.6837873,2.8207326
P1_A05,4.1959105,0.0,4.0376053,2.827997
P1_A08,3.3936493,1.1673346,2.2878435,3.3936493
P1_A12,4.4004164,1.6346037,4.0010686,3.2489996
P1_B10,3.58272,0.0,3.4207077,3.2272751
P1_C11,3.5087419,0.9334047,3.1181333,2.84509
P1_D09,4.334866,2.1008153,2.9408576,2.7308328
P1_F10,4.1097836,0.52407223,3.660712,3.137428
P1_H01,3.7221339,0.62417024,3.6245975,2.6397967
P1_H10,3.9137259,2.727283,3.9229813,2.418915
P2_A04,4.1853867,1.8847408,4.4315767,1.828455
P2_B11,3.4950123,0.6625469,2.5814617,3.0761125
P2_G01,3.6729052,0.5609158,3.6918347,2.5677474
P2_G09,4.0707045,0.972922,3.659715,2.386373
P2_H04,3.8340843,1.0336621,3.4016433,3.0380542
P2_H05,4.166725,0.86807454,4.2651625,2.0211968
